รหัสนิสิต,รหัสวิชา,หมู่เรียนบรรยาย(ถ้ามี),หมู่เรียนปฏิบัติ(ถ้ามี),ผลการเรียน(ตัวอักษร),หน่วยกิต,ประเภทการลงทะเบียน,สถานะการศึกษา
6320500611,01999041,702,,B+,3,Credit,กำลังศึกษา
6320500611,02204433,700,,A,3,Credit,กำลังศึกษา
6320500611,02204452,700,,A,3,Credit,กำลังศึกษา
6320500611,02204495,700,,A,2,Credit,กำลังศึกษา
6320500654,01417267,700,,D,3,Credit,กำลังศึกษา
6320500654,01999041,702,,C,3,Credit,กำลังศึกษา
6320500654,02204311,700,,F,3,Credit,กำลังศึกษา
6320500654,02204433,700,,D+,3,Credit,กำลังศึกษา
6320500654,02204481,700,,D+,3,Credit,กำลังศึกษา
6320500654,02204495,700,,B+,2,Credit,กำลังศึกษา
6320500603,01999041,702,,B+,3,Credit,กำลังศึกษา
6320500603,02204433,700,,A,3,Credit,กำลังศึกษา
6320500603,02204452,700,,A,3,Credit,กำลังศึกษา
6320500603,02204495,700,,A,2,Credit,กำลังศึกษา
6320501561,02204361,700,,C+,3,Credit,กำลังศึกษา
6320501561,02204433,700,,A,3,Credit,กำลังศึกษา
6320501561,02204431,700,,C,3,Credit,กำลังศึกษา
6320501561,02204495,700,,A,2,Credit,กำลังศึกษา
6320501561,02204224,,712,C+,1,Credit,กำลังศึกษา
6320501561,02204311,700,,C,3,Credit,กำลังศึกษา
